BREAKFAST,,
,,
Avant Garden Bars,,
,,
Simply Roasted Sweet Potatoes,,
,,
Roasted Mushrooms,,
,,
Shredded Carrots,,
,,
Broccoli Florets,,
,,
Light Asian Vegetable Broth,,
,,
Roasted Chinese Tofu,,
,,
Buckwheat Soba Noodles,,
,,
Cold Breakfast/Bakery,,
,,
Cake Doughnut with Powdered Sugar,,
,,
Cake Doughnut,,
,,
Hot Breakfast,,
,,
Garlic Roasted Red Bliss Potatoes,,
,,
Egg White & Turkey Sausage Muffin,,
,,
Scrambled Eggs,,
,,
Cage Free Hard Cooked Egg,,
,,
Oatmeal With Toppings,,
,,
Omelet Station,,
,,
Omelet Bar,,
,,
BREAKFAST,,
,,
Avant Garden Bars,,
,,
Fire Roasted Tomato Salsa,,
,,
Black Beans,,
,,
Roasted  Zucchini,,
,,
Scrambled Tofu,,
,,
Fresh Spinach,,
,,
"6"" Healthy Grain Tortillas",,
,,
Reduced Sodium Vegetarian Refried Beans,,
,,
Verde Cruda Salsa,,
,,
Simply Roasted Sweet Potatoes,,
,,
Yellow Corn,1 Tbsp,
,,
Hot Breakfast,,
,,
Sausage Gravy & Biscuits,,
,,
Scrambled Eggs,,
,,
Cage Free Hard Cooked Egg,,
,,
Two Buttermilk Pancakes,,
,,
Fried Tater Tots,,
,,
Scrambled Egg & Cheese on Bagel,,
,,
Oatmeal With Toppings,,
,,
One Pork Sausage Patty,,
,,
Omelet Station,,
,,
Omelet Bar,,
,,
BREAKFAST,,
,,
Avant Garden Bars,,
,,
Fresh Spinach,,
,,
Grits,,
,,
Scrambled Tofu,,
,,
Simply Roasted Sweet Potatoes,,
,,
Fresh Tomatoes,,
,,
Sunflower Seeds,,
,,
Roasted Mexican Potatoes,,
,,
Breakfast Bowl Wednesday,,
,,
Greek Breakfast Bowl,,
,,
Hot Breakfast,,
,,
Garlic Roasted Red Bliss Potatoes,,
,,
Scrambled Eggs,,
,,
Breakfast Chorizo Flatbread Melt,,
,,
Cage Free Hard Cooked Egg,,
,,
Two Turkey Sausage Links,,
,,
Whole Wheat French Toast,,
,,
Oatmeal With Toppings,,
,,
BREAKFAST,,
,,
Avant Garden Bars,,
,,
Pineapple,,
,,
Blueberries,,
,,
Shredded Sweetened Coconut,,
,,
Sunflower Seeds,,
,,
Golden Raisins,,
,,
Strawberry Apple Smoothie,8 fl oz,
,,
Organic Oats & Honey Granola,,
,,
Sliced Banana,,
,,
Blueberry Apple Smoothie,8 fl oz,
,,
Hot Breakfast,,
,,
Sausage Gravy & Biscuits,,
,,
Oatmeal With Toppings,,
,,
Hash Brown Patty,,
,,
Scrambled Eggs,,
,,
Cage Free Hard Cooked Egg,,
,,
Two Turkey Sausage Links,,
,,
Two Buttermilk Pancakes,,
,,
Omelet Station,,
,,
Omelet Bar,,
,,
BREAKFAST,,
,,
Avant Garden Bars,,
,,
Roasted Mexican Potatoes,,
,,
Simply Roasted Sweet Potatoes,,
,,
Avocado Pico de Gallo,,
,,
Fresh Tomatoes,,
,,
Black Beans,,
,,
Scrambled Tofu,,
,,
Fire Roasted Tomato Salsa,,
,,
Hot Breakfast,,
,,
Sausage Gravy & Biscuits,,
,,
Oatmeal With Toppings,,
,,
Two Pork Sausage Links,,
,,
Texas French Toast,,
,,
Cage Free Hard Cooked Egg,,
,,
Hash Browned Potatoes,,
,,
Scrambled Eggs,,
,,
Italian Egg White Multigrain Flat,,
,,
Omelet Station,,
,,
Omelet Bar,,
,,
BREAKFAST,,
,,
Avant Garden Bars,,
,,
Sunflower Seeds,,
,,
Golden Raisins,,
,,
Blueberries,,
,,
Shredded Sweetened Coconut,,
,,
Creamy Peanut Butter,,
,,
Plain Quinoa,,
,,
Sliced Banana,,
,,
Red Quinoa,,
,,
Hot Breakfast,,
,,
Sausage Gravy & Biscuits,,
,,
Cage Free Hard Cooked Egg,,
,,
Two Buttermilk Pancakes,,
,,
Fried Tater Tots,,
,,
Scrambled Eggs,,
,,
Scrambled Egg & Cheese on Sourdough,,
,,
Oatmeal With Toppings,,
,,
BREAKFAST,,
,,
Avant Garden Bars,,
,,
Simply Roasted Sweet Potatoes,,
,,
Yellow Corn,1 Tbsp,
,,
Avocado Pico de Gallo,,
,,
Fire Roasted Tomato Salsa,,
,,
Black Beans,,
,,
Roasted  Zucchini,,
,,
Scrambled Tofu,,
,,
Fresh Spinach,,
,,
"6"" Healthy Grain Tortillas",,
,,
Reduced Sodium Vegetarian Refried Beans,,
,,
Hot Breakfast,,
,,
Sausage Gravy & Biscuits,,
,,
Home Fried Potatoes,,
,,
Fajita Egg White Omelet Multigrain Flat,,
,,
Scrambled Eggs,,
,,
Cage Free Hard Cooked Egg,,
,,
Whole Wheat French Toast,,
,,
Canadian Bacon,,
,,
